id,descricao,unidade,quantidade,unitario,total
6833,"SINALIZADOR L20-R2-G, 220V, VD",PC,27,8.74,235.98
6834,"SINALIZADOR L20-R2-R, 220V, VM",PC,5,6.50,32.50
6835,"SINALIZADOR L20-R2-Y, 220V, AM",PC,16,5.71,91.36
6836,"SINALIZADOR L20-R7-BLP, 24V, AZ",PC,10,7.65,76.50
6837,"SINALIZADOR L20-R7-G, 24V, VD",PC,22,7.77,170.94
6838,"SINALIZADOR L20-R7-R, 24V, VM",PC,26,7.77,202.02
6839,"SINALIZADOR L20-R7-Y, 24VDC, AM",PC,12,6.84,82.08
6840,"SINALIZADOR L20-R9-BLP, 12V, AZ",PC,14,10.62,148.68
6841,"SINALIZADOR L20-R9-G, 12V, VD",PC,20,9.33,186.60
6842,"SINALIZADOR L20-R9-R , 12V, VM",PC,18,7.77,139.86
6843,"SINALIZADOR L20-R9-Y, 12V, AM",PC,12,7.77,93.24
6844,"SINALIZADOR L2DR1-R, 110V, VM",PC,28,5.71,159.88
6845,"SINALIZADOR LD16-4,220V AM",PC,0,0.92,0.00
6846,"SINALIZADOR LD16-4,220V AZ",PC,0,0.92,0.00
6847,"SINALIZADOR LD16-4,220V VD",PC,0,0.92,0.00
6848,SINALIZADOR LED BR 24VCA/VCC,PC,0,21.72,0.00
6849,"SINALIZADOR M20-PR-G, VD, DIRETA",PC,0,10.94,0.00
6850,"SINALIZADOR M20-PR-R, VM, DIRETA",PC,0,10.94,0.00
6851,"SINALIZADOR MLG-24VDC- AMARELO, DIAM 66",PC,0,115.02,0.00
6852,SINALIZADOR MLG-24Y AMARELO 110 VCA,PC,0,115.02,0.00
6853,"SINALIZADOR MT4B-1-ALP-R , 24VCA",PC,0,81.27,0.00
6854,"SINALIZADOR MT4B-2-ALP-RG , 24VCA",PC,0,101.12,0.00
6855,"SINALIZADOR MT4B-2-CLP-RG , 220VCA",PC,0,101.12,0.00
6856,"SINALIZADOR NEON AM, 16MM",PC,0,10.86,0.00
6857,"SINALIZADOR NEON AM, 22,5MM",PC,0,9.84,0.00
6858,SINALIZADOR OLHO DE BOI LP-14 12V,PC,14,2.77,38.78
6859,SINALIZADOR OLHO DE BOI LP-14 12V VERDE,PC,16,3.47,55.52
6860,SINALIZADOR OLHO DE BOI LP-14 12V,PC,12,2.69,32.28
6861,SINALIZADOR OLHO DE BOI LP-14 220,PC,0,2.61,0.00
6862,SINALIZADOR OLHO DE BOI LP-14 220V VERDE,PC,30,2.81,84.30
6863,SINALIZADOR OLHO DE BOI LP-14 220V,PC,20,2.61,52.20
6864,SINALIZADOR OLHO DE BOI LP-14 24V VERDE,PC,18,3.47,62.46
6865,SINALIZADOR OLHO DE BOI LP-14 24V,PC,10,2.69,26.90
6866,SINALIZADOR P16-PR7 G BRANCO,PC,0,9.72,0.00
6867,SINALIZADOR TORRE DFT-2-CS BIVOLT,PC,0,110.70,0.00
6868,SINALIZADOR TORRE TPSS6-22,PC,0,231.84,0.00
6869,SINALIZADOR TORRE TPSS6-22,PC,0,231.84,0.00
6870,"SINALIZADOR V 221/13 ,VM 22MM, PLASTICO",PC,0,13.44,0.00
6871,"SINALIZADOR V 221/15 ,VD 22MM, PLASTICO",PC,0,13.44,0.00
6872,"SINALIZADOR V 301/13 ,VD,30MM,PLASTICO",PC,0,20.85,0.00
6873,SINALIZADOR VD 220 16MM YAY8E-YDR,PC,0,6.09,0.00
6874,SINALIZADOR VISUALTRM220R,PC,0,112.34,0.00
6875,SINALIZADOR VM 220 16MM YAY8E-YDG,PC,0,6.09,0.00
6876,"SINALIZADOR VOLTÍMETRO, VAD1622DG,",PC,0,12.83,0.00
6877,"SINALIZADOR VOLTÍMETRO, VAD1622DR, 220V,",PC,0,12.63,0.00
6878,"SINALIZADOR VOLTÍMETRO/AMPERÍMETRO,",PC,0,58.10,0.00
6879,"SINALIZADOR VOLTÍMETRO/AMPERÍMETRO,",PC,0,58.10,0.00
6880,"SINALIZADOR VZ 221/13 VM, 22MM, ZAMAK",PC,0,25.36,0.00
6881,"SINALIZADOR VZ 221/15 ,VD,22MM,ZAMAK",PC,0,28.48,0.00
6882,"SINALIZADOR VZ 301/13 , VM, 30MM, ZAMAK",PC,0,29.30,0.00
6883,"SINALIZADOR VZ 301/15 ,VD,30MM,ZAMAK",PC,0,29.30,0.00
6884,SIRENE,PC,0,0.00,0.00
6885,SIRENE 127/220VCA,PC,8,24.10,192.80
6886,SIRENE 12V TATY-VIP,PC,8,21.00,168.00
6887,"SIRENE 1500-3000M, 220VCA, BEATEC 104",PC,0,266.50,0.00
6888,SIRENE 1500M BI 110-220VCA BEATEK 222,PC,0,211.20,0.00
6889,SIRENE 220/110VCA C/ TRANSFORMADOR,PC,0,135.00,0.00
6890,SIRENE 24V TATY-VIP-24,PC,8,24.13,193.04
6891,"SIRENE 250M, 110-220VCA, BEATEC 101",PC,0,94.80,0.00
6892,"SIRENE 250M, 12VDC BEATEK 102",PC,0,71.50,0.00
6893,"SIRENE 3190, 12VDC, COM VOZ",PC,0,44.57,0.00
6894,"SIRENE 3200, 24VDC, LINHA PESADA",PC,4,36.33,145.32
6895,"SIRENE 3300, 12VCD,",PC,4,20.18,80.72
6896,"SIRENE 3312, ELETRONICA 15W/12VDC",PC,5,35.29,176.45
6897,"SIRENE 3330, 12VDC, 6 TONS",PC,2,28.56,57.12
6898,"SIRENE 3400, ALTA POT 130DB 12VDC",PC,2,59.24,118.48
6899,"SIRENE 3500, 12-36VDC",PC,0,248.11,0.00
6900,"SIRENE 3501, 12-36VDC",PC,0,90.99,0.00
6901,SIRENE 3712 MECÂNICA P/ Motocicleta,PC,0,30.98,0.00
6902,"SIRENE 3712, 12VDC , 117DB",PC,0,53.42,0.00
6903,"SIRENE 3715, 115VCA",PC,4,96.15,384.60
6904,"SIRENE 3720, 220VCA",PC,0,96.15,0.00
6905,SIRENE 3722 MECÂNICA cinza 220VCA,PC,1,110.01,110.01
6906,"SIRENE 4000, 12VDC 100DB",PC,0,21.79,0.00
6907,"SIRENE 4002, RE ,24VDC",PC,3,10.95,32.85
6908,"SIRENE 4008, 24VCC, BINOTAL QUADRADA",PC,0,7.81,0.00
6909,SIRENE 4024 24VDC,PC,0,19.49,0.00
6910,"SIRENE 4027, 12/24VDC",PC,1,18.47,18.47
6911,"SIRENE 4029, 12/24VDC, PROVA DAGUA",PC,0,22.95,0.00
6912,"SIRENE 4050, 6 TONS  12 VDC CANC",PC,0,12.50,0.00
6913,"SIRENE 4050, 6 TONS 12VDC",PC,0,15.14,0.00
6914,"SIRENE 4054, 24VDC, 6 TONS, RÉ",PC,0,21.79,0.00
6915,"SIRENE 4110, 110V, 115dD",PC,0,45.25,0.00
6916,"SIRENE 4204, BRANCA TETO,12V",PC,0,8.91,0.00
6917,"SIRENE 4205, P/ INCENDIO",PC,3,22.50,67.50
6918,SIRENE 4206 INCENDIO,PC,2,78.02,156.04
6919,"SIRENE 4310, PIEZOPEAK BINOTAL 12VDC",PC,1,23.48,23.48
6920,"SIRENE 4325, 12/24VDC, COM ILUMINAÇÃO",PC,5,20.66,103.30
6921,SIRENE 7007 PNEUMATICA CPMPRESSOR,PC,0,103.50,0.00
6922,"SIRENE 7041, 12VDC, BIBIZINHA",PC,0,17.75,0.00
6923,SIRENE ALARME SONORO 220VCA,PC,0,539.87,0.00
6924,"SIRENE AUDIO VISUAL -22MM -110VCA, VM",PC,0,9.36,0.00
6925,"SIRENE AUDIO VISUAL 22MM -220VCA, AM",PC,0,12.18,0.00
6926,SIRENE AUDIO VISUAL AV/24V SEGURANÇA,PC,0,86.40,0.00
6927,SIRENE AUDIO VISUAL AVM/24V SEGURANÇA,PC,0,108.00,0.00
6928,SIRENE AUDIO VISUAL AVM/U/24V,PC,0,89.30,0.00
6929,SIRENE B2PB-B1D 12-24VDC 22MM,PC,0,36.39,0.00
6930,SIRENE BEATEK-250M 24VDC 103,PC,0,66.00,0.00
6931,SIRENE DP1000 BI VOLT,PC,0,182.25,0.00
6932,SIRENE DP2000 BIVOLT,PC,2,168.00,336.00
6933,SIRENE DP300 BIVOLT,PC,0,81.60,0.00
6934,SIRENE EG 101 110V ENGESIG,PC,1,406.44,406.44
6935,SIRENE EG 101 V220 ENGESIG,PC,2,406.44,812.88
6936,SIRENE EG 103 220V ENGESIG,PC,0,557.55,0.00
6937,SIRENE EG106 12VDC,PC,2,642.60,1285.20
6938,SIRENE ELETR CELERE 220VCA,PC,1,483.04,483.04
6939,"SIRENE INCENDIO,4206 24VDC,FLASH",PC,0,37.08,0.00
6940,"SIRENE INTERMITENTE 1,5-30VDC PK21N30W",PC,0,14.42,0.00
6941,SIRENE PAINEL 6-30VDC S6/30V-O-I,PC,5,17.16,85.80
6942,SIRENE PIEZO 12V INTERMITETE,PC,0,14.28,0.00
6943,SIRENE SE 12/35 MS 32 ACR,PC,0,521.99,0.00
6944,SIRENE SPK-21W-1-C  CONTINUO,PC,0,5.40,0.00
6945,"SIRENE TBY-302, DIÂM 30MM, 220VCA",PC,0,27.47,0.00
6946,"SIRENE, TBY-302, DIÂM 64MM, 220VCA",PC,0,27.47,0.00
6947,"SIRENE, TBY-324, DIÂM 30MM, 24VCA",PC,2,23.90,47.80
6948,"SIRENE, TBY-324, DIÂM 64MM, 24VCA",PC,0,33.05,0.00
6949,"SIRENE, TBY-324D, DIÂM 30MM, 110V",PC,0,35.22,0.00
6950,"SIRENE, TBY-324D, DIÂM 30MM, 24VCC",PC,0,61.98,0.00
6951,Sist Limpeza testes injetores MultJet PP Alfatest,PC,0,2171.57,0.00
6952,SOFT-START 45A/220-380-440VCA,PC,0,1141.18,0.00
6953,SOFT-STARTER 85A/220-575VCA,PC,0,2198.86,0.00
6954,Solda branca barra 40X60,PC,0,1.87,0.00
6955,"Solda Carretel 225 gramas 0,05MM",PC,0,12.70,0.00
6956,SOLDA COBIX 250G 1MM 60X40,PC,0,14.05,0.00
6957,SOLDA COBIX 500G 1MM 60X40,PC,0,27.28,0.00
6958,Solda cobix azul 60x40 cartela,PC,0,0.74,0.00
6959,SOLDA COBIX TUBINHO 22G 1MM 63X37,PC,6,2.52,15.12
6960,SOLENOIDE DE PARADA PL02 12VDC 01000000,PC,0,328.80,0.00
6961,SOLENOIDE DE PARADA PL02 24VDC 01000003,PC,2,328.80,657.60
6962,Solenoide maq lavar 200v,PC,0,5.50,0.00
6963,SOLENOIDES AUXILIAR 902.0625,PC,0,86.37,0.00
6964,SOLENOIDES AUXILIAR PART MITSUBISHI,PC,0,94.22,0.00
6965,SOLENOIDES DE PARTIDA 12VDC 902.0604,PC,0,48.94,0.00
6966,SOLENOIDES DE PARTIDA 24VDC 902.0600,PC,0,42.67,0.00
6967,SOLENOIDES DE PARTIDA 24VDC 902.0621,PC,0,51.55,0.00
6968,SOLENOIDES DE PARTIDA 36VDC 902.0617,PC,0,41.61,0.00
6969,SOLENOIDES DE PARTIDA GERAL902.0060,PC,0,48.94,0.00
6970,Soprador Termico HL 1500 110V,PC,0,137.75,0.00
6971,SOQUETE  PARA HQI,PC,0,6.00,0.00
6972,SOQUETE COM RABICHO  E-27,PC,0,1.50,0.00
6973,SOQUETE P/ FLUR. ANT-VIBR. L&C 1478-P,PC,0,0.71,0.00
6974,SOQUETE P/ FLUR. C/ RABICHO INGEMAG,PC,0,0.20,0.00
6975,SOQUETE PARA LÂMPADA CANHÃO,PC,0,3.98,0.00
6976,SPOT COPIART EMB. P/ LAMP SPOT BRANCO,PC,0,11.48,0.00
6977,SPOT LÂMPADA EMB. BRANCO,PC,0,18.73,0.00
6978,Sugador de Solda ALUNINIO CAN,PC,0,7.79,0.00
6979,SUGADOR DE SOLDA PROFISSIONAL,PC,3,21.74,65.22
6980,SUP. METÁLICO C/ FURO P/ 2 CONECTORES,PC,0,1.00,0.00
6981,SUP. PIAL PLUS P/CX 4X2,PC,0,0.36,0.00
6982,SUP.P/ FONTE chav.S-15/25,PC,0,8.62,0.00
6983,SUP.P/ FONTE chav.S-35/50/60,PC,0,14.37,0.00
6984,SUPORTE DO SENSOR S115 PARA SENSOR,PC,4,8.30,33.20
6985,SUPORTE DRL02 P/ FONTE METALTEX,PC,0,17.92,0.00
6986,SUPORTE DRP03 P/ FONTE METALTEX,PC,0,16.64,0.00
6987,SUPORTE P/ RELÉ TERMICO LA7D0964A65,PC,0,18.64,0.00
6988,SUPORTE PARA FERRO DE SOLDAR,PC,0,7.44,0.00
6989,suporte para tomada telefone,PC,0,0.28,0.00
6990,Suporte prat 200x130mm,PC,0,6.02,0.00
6991,SUPRESSOR DE SOBRETENSAO CIRCUITO RC,PC,0,6.00,0.00
6992,SUPRESSOR DE SOBRETENSAO CIRCUITO RC,PC,0,14.86,0.00
6993,SUPRESSOR DE SOBRETENSAO CIRCUITO RC,PC,0,13.44,0.00
6994,SUPRESSOR SOBRETENSAO CIRCUITO RC,PC,0,23.05,0.00
6995,"T,VD,1NA *",PC,0,0.00,0.00
6996,TACO GERADOR UNIVERSAL 300276,PC,0,295.68,0.00
6997,TACOMETRO AUTO AJUSTAVEL3000RPM,PC,0,222.95,0.00
6998,TACÔMETRO AUTO BR 3500RPM 12/24V D85,PC,0,199.56,0.00
6999,TACOMETRO AUTO BR MAR MEC D85 300387,PC,0,95.35,0.00
7000,TACOMETRO AUTO DIGITAL AZ CG09,PC,0,42.40,0.00
7001,TACOMETRO AUTO PT 3500RPM 12/24V D85,PC,0,148.30,0.00
7002,TACOMETRO AUTO PT 3500RPM 12/24V D85,PC,0,234.34,0.00
7003,TACOMETRO AUTO PT 3500RPM12/24V D85,PC,0,235.19,0.00
7004,TACOMETRO AUTO PT MAR3500RPM12/24V,PC,0,254.77,0.00
7005,TACOMETRO AUTO RPM 12/24V D85 300281,PC,0,250.18,0.00
7006,TACOMETRO INCON 48X48 85A 265VCA PNP,PC,0,409.92,0.00
7007,TACOMETRO RLU 9999RPM 90-240 DIGIMEC,PC,1,288.00,288.00
7008,TACOMETRO UW1200 24VDC,PC,0,744.00,0.00
7009,TAMPA APPA FUSIVEL,PC,50,0.45,22.50
7010,TAMPA DE REDUÇÃO 30/22MM,PC,0,0.32,0.00
7011,TAMPA DEFLETORA CARCACA 100 SIMILAR,PC,0,14.43,0.00
7012,TAMPA DEFLETORA CARCACA 112 SIMILAR,PC,0,15.28,0.00
7013,TAMPA DEFLETORA CARCACA 132 SIMILAR,PC,0,25.80,0.00
7014,TAMPA DEFLETORA CARCACA 160 SIMILAR,PC,0,50.40,0.00
7015,TAMPA DEFLETORA CARCACA 160 SIMILAR,PC,0,52.00,0.00
7016,TAMPA DEFLETORA CARCACA 63 SIMILAR,PC,0,7.30,0.00
7017,TAMPA DEFLETORA CARCACA 71 SIMILAR,PC,0,8.26,0.00
7018,TAMPA DEFLETORA CARCACA 80 SIMILAR,PC,0,8.50,0.00
7019,TAMPA DEFLETORA CARCACA 90 SIMILAR,PC,0,9.75,0.00
7020,TAMPA GUIA 550 BOSCH 9500/MAKITA 4300 PÇ,PC,0,1.62,0.00
7021,TAMPA GUIA 600 MAKITA 4100/5000/92 PÇ,PC,0,2.88,0.00
7022,TAMPA GUIA 650 MAKITA 4107/9609/90 PÇ,PC,0,1.80,0.00
7023,TAMPA GUIA 750 MAKITA 4100/5006 PÇ,PC,0,1.92,0.00
7024,TAMPA GUIA MAKITA 9524 PÇ,PC,0,3.60,0.00
7025,TAMPA PB06P P/ TOM MULTIPOLAR 06P,PC,5,41.74,208.70
7026,TAMPA PB06P P/ TOM MULTIPOLAR 06P,PC,0,41.74,0.00
7027,TAMPA PB32P P/ TOM MULTIPOLAR 32P,PC,0,28.62,0.00
7028,TAMPA SAK 35MM  MAT35,PC,50,1.56,78.00
7029,"TAMPA SAK AP2(SAK 2,5MM EN)",PC,100,0.66,66.00
7030,TAMPA SAK AP4(16 EN),PC,48,0.83,39.84
7031,"TAMPA SAK MAT2,5 - AZUL",PC,0,0.63,0.00
7032,TAMPA SAK MAT4-10,PC,10,0.85,8.50
7033,TAMPA SAK MAT-DTAMPA (SAK 4MM) DUPLO,PC,0,0.73,0.00
7034,TAMPA SAK NEUTRO AZUL 16MM,PC,0,0.83,0.00
7035,TAMPA SAK NEUTRO AZUL 16MM,PC,10,0.75,7.50
7036,TAMPA SAK NEUTRO AZUL 35MM,PC,20,1.78,35.60
7037,TAMPA SAK NEUTRO AZUL 4MM,PC,10,0.75,7.50
7038,"TAMPA SEPARADORA MAS 2,5 SAK",PC,38,0.57,21.66
7039,TAMPA SEPARADORA MAS 35 SAK,PC,9,1.55,13.95
7040,"TAMPÃO 22,0MM",PC,35,1.93,67.55
7041,TAMPÃO 30MM,PC,0,1.85,0.00
7042,TAMPÃO PAINEL 22MM ACE,PC,0,6.30,0.00
7043,TAMPÃO PAINEL Z 430 30MM ACE,PC,5,6.76,33.80
7044,TAMPÃO PG-11 PARA 28/32MM,PC,30,1.31,39.30
7045,"TAMPÃO PG-13,5 PARA 30MM canc",PC,0,1.18,0.00
7046,TAPA P/ CONECTOR SAK 4MM,PC,0,0.77,0.00
7047,"TAPA P/ DAILET MULTIPLO 1"" C/2 FURO P/RJ45",,0,1.06,0.00
7048,"TAPA. AL 1INT COND 1/2- 3/4""",PC,0,1.30,0.00
7049,"TAPA. AL 1TOMD COND 1/2- 3/4""",PC,0,1.30,0.00
7050,TARUGO DE NYLON 6MM 1METRO,PC,0,1.34,0.00
7051,"TC KR127 75/5A 1,2C2,5 KRON",,0,59.31,0.00
7052,TC MES-30 50/5,PC,0,27.08,0.00
7053,"Te Rosca 90GR 3/4"" Tigre",PC,0,1.59,0.00
7054,Teclado padrão Abnt Brasil  Dim 108 teclas,PC,0,0.00,0.00
7055,TELA RT-150,PC,0,18.75,0.00
7056,TELA RT-150/4,PC,0,18.75,0.00
7057,TELA RT-180,PC,0,18.75,0.00
7058,TELA RT-254,PC,0,21.25,0.00
7059,Telefone  euroset 805 Siemens Azul C/CH,PC,0,29.02,0.00
7060,Telefone  euroset 805 Siemens Azul S/CH,PC,0,29.15,0.00
7061,Telefone  euroset 805 Siemens Gelo C/CH,PC,0,29.02,0.00
7062,Telefone  euroset 805 Siemens Gelo S/C,PC,0,27.49,0.00
7063,Telefone  euroset 805 Siemens Grafite Sem chave,PC,0,37.19,0.00
7064,Telefone  euroset 805 Siemens Vinho Sem chave,PC,0,27.49,0.00
7065,Telefone Intelbras Premium Azul Sem chave,PC,0,22.30,0.00
7066,Telefone Intelbras Premium Perola Com chave,PC,0,25.08,0.00
7067,Telefone Intelbras Premium Perola Sem chave,PC,0,22.30,0.00
7068,Telefone IntelbrasPremium,PC,0,0.00,0.00
7069,TER,PC,0,0.04,0.00
7070,"TER 7020A, FASTON F 6,3 FIO 2,5MM",PC,89,0.14,12.46
7071,"TER 7020B FASTON 6,3MM FIO 2,5MM",PC,0,0.16,0.00
7072,"TER 7020E FASTON F 6,3  FIO 2,5MM",PC,0,0.15,0.00
7073,"TER 7023A OLHAL M6X2,5MM",PC,0,0.17,0.00
7074,"TER 7027A FASTON F 4,8 FIO 1,0MM",PC,0,0.16,0.00
7075,"TER 7028 FASTON M 6,3 FIO 2,5MM",PC,30,0.20,6.00
7076,"TER 7029 FASTON F 9,7 FIO 4,0MM",PC,90,0.35,31.50
7077,"TER 7030 FASTON F 2,8 FIO 1MM",PC,0,0.16,0.00
7078,"TER 7032E FASTON F 7,9 FIO 2,5MM",PC,1,0.39,0.39
7079,"TER 7034 HERMAFRODITA FASTON 6,3MM FIO",PC,0,0.48,0.00
7080,"TER 7035 FASTON F 9,7 FIO 6MM",PC,40,0.69,27.60
7081,TER 7821 OLHAL 8MM FIO 10MM,PC,0,0.54,0.00
7082,"TER 7907 OLHAL M8X2,5MM",PC,0,0.68,0.00
7083,TER ETE 7031 OLHAL FURO 3/8 FIO 10MM,PC,0,0.31,0.00
7084,"TER FASTON F 6,3 FIO 2,5MM",PC,100,0.34,34.00
7085,"TER FASTON M 6,3 FIO 2,5MM",PC,30,0.15,4.50
7086,TER ISOL,PC,0,0.00,0.00
7087,TER ISOL AGULHA 10mm2 TPP-24,PC,186,0.77,143.22
7088,TER ISOL AGULHA 16MM2,PC,0,0.85,0.00
7089,TER ISOL AGULHA 16mm2 TPP-28,PC,0,1.05,0.00
7090,TER ISOL AGULHA 25mm2 TPP-28,PC,0,1.19,0.00
7091,TER ISOL AGULHA 35mm,PC,0,1.40,0.00
7092,"TER ISOL AGULHA CURTO 0,5-1,5 TPP-21-C",PC,845,0.08,67.60
7093,"TER ISOL AGULHA CURTO 1,5-2,5 TPP-22-C",PC,3550,0.11,390.50
7094,TER ISOL AGULHA CURTO 4-6 TPP-23,PC,2428,0.24,582.72
7095,"TER ISOL AGULHA LONGO 1,5-2,5 TPP-22-L",PC,100,0.07,7.00
7096,TER ISOL AGULHA PLANO 4-6MM,PC,0,0.23,0.00
7097,"TER ISOL EMENDA 0,5-1,5 VM",PC,1980,0.14,277.20
7098,"TER ISOL EMENDA 1,5-2,5 AZ",PC,1682,0.16,269.12
7099,TER ISOL EMENDA 4-6MM2 AM,PC,1573,0.29,456.17
7100,"TER ISOL FASTON  FEMEA 6,3 0,5-1,5MM AZ",PC,0,0.16,0.00
7101,"TER ISOL FASTON FEMEA 2,8 0,5-1,5MM",PC,498,0.07,34.86
7102,"TER ISOL FASTON FEMEA 4,8  1,5-2,5 FE-22-6",PC,0,0.09,0.00
7103,"TER ISOL FASTON FEMEA 4,8 0,5-1,5MM",PC,366,0.07,25.62
7104,"TER ISOL FASTON FEMEA 6,3  1,5-2,5 FE-22-6",PC,8000,0.11,880.00
7105,"TER ISOL FASTON FEMEA 6,3 0,5-1,5  FE-21-6",PC,168,0.11,18.48
7106,"TER ISOL FASTON FEMEA 6,3MM 4-6MM",PC,283,0.17,48.11
7107,"TER ISOL FASTON HEMAFRODITA  1,5-2,5MM",PC,0,0.18,0.00
7108,TER ISOL FASTON HEMAFRODITA  4-6MM,PC,0,0.20,0.00
7109,"TER ISOL FASTON MACHO 6,3 1,5-2,5 MA-22-6",PC,1325,0.17,225.25
7110,"TER ISOL FASTON MACHO 6,3MM 4-6MM",PC,1482,0.20,296.40
7111,"TER ISOL GARFO 4MM 1,5-2,5MM IMP",PC,0,0.14,0.00
7112,"TER ISOL GARFO M4 0,5-1,5 TPF21-4",PC,2900,0.11,319.00
7113,"TER ISOL GARFO M4 1,5-2,5 TPF22-4",PC,1484,0.08,118.72
7114,TER ISOL GARFO M4 4-6 TPF23-4,PC,867,0.24,208.08
7115,TER ISOL OLHAL M10X 4-6MM,PC,698,0.30,209.40
7116,"TER ISOL OLHAL M10X1,5-2,5MM",PC,500,0.17,85.00
7117,"TER ISOL OLHAL M10X1,5-2,5MM",PC,1500,0.07,105.00
7118,"TER ISOL OLHAL M10X10,00MM",PC,0,0.75,0.00
7119,"TER ISOL OLHAL M10X10,00MM CAN",PC,100,0.47,47.00
7120,TER ISOL OLHAL M10X16MM,PC,100,0.99,99.00
7121,TER ISOL OLHAL M10X25MM,PC,100,1.93,193.00
7122,TER ISOL OLHAL M10X35MM,PC,150,2.74,411.00
7123,"TER ISOL OLHAL M12X16,00MM",PC,200,1.08,216.00
7124,TER ISOL OLHAL M12X25MM,PC,200,1.90,380.00
7125,TER ISOL OLHAL M12X35MM,PC,200,2.64,528.00
7126,TER ISOL OLHAL M12X6MM,PC,0,0.43,0.00
7127,"TER ISOL OLHAL M3X1,5-2,5 MM",PC,0,0.11,0.00
7128,"TER ISOL OLHAL M4X0,5-1,5MM",PC,1000,0.05,50.00
7129,"TER ISOL OLHAL M4X1,5-2,5",PC,2000,0.05,100.00
7130,TER ISOL OLHAL M4X10MM,PC,0,0.57,0.00
7131,TER ISOL OLHAL M4X16MM,PC,0,0.68,0.00
7132,TER ISOL OLHAL M4X4-6MM,PC,1173,0.12,140.76
7133,TER ISOL OLHAL M4X4-6MM,PC,0,0.17,0.00
7134,"TER ISOL OLHAL M5X0,5-1,5MM",PC,982,0.04,39.28
7135,"TER ISOL OLHAL M5X1,5-2,5MM CAN",PC,0,0.10,0.00
7136,"TER ISOL OLHAL M5X1,5-2,5MM cancelado",PC,0,0.09,0.00
7137,"TER ISOL OLHAL M5X1,5-2,5MM N",PC,1097,0.07,76.79
7138,TER ISOL OLHAL M5X10MM,PC,200,0.48,96.00
7139,"TER ISOL OLHAL M5X16,00MM",PC,100,0.97,97.00
7140,TER ISOL OLHAL M5X25MM,PC,0,1.02,0.00
7141,TER ISOL OLHAL M5X4-6MM,PC,2948,0.22,648.56
7142,"TER ISOL OLHAL M6X0,5-1,5MM",PC,500,0.06,30.00
7143,"TER ISOL OLHAL M6X1,5-2,5MM",PC,1480,0.18,266.40
7144,"TER ISOL OLHAL M6X10,00MM",PC,176,0.73,128.48
7145,"TER ISOL OLHAL M6X16,00MM",PC,0,0.76,0.00
7146,TER ISOL OLHAL M6X35MM,PC,0,2.80,0.00
7147,TER ISOL OLHAL M6X4-6MM,PC,1266,0.29,367.14
7148,"TER ISOL OLHAL M8 X10,00MM",PC,300,0.47,141.00
7149,"TER ISOL OLHAL M8 X16,00MM AZ",PC,196,0.85,166.60
7150,"TER ISOL OLHAL M8X1,5-2,5MM",PC,1000,0.11,110.00
7151,TER ISOL OLHAL M8X16MM CAN,PC,0,0.60,0.00
7152,TER ISOL OLHAL M8X25MM,PC,230,1.87,430.10
7153,TER ISOL OLHAL M8X25MM CANC,PC,0,2.13,0.00
7154,TER ISOL OLHAL M8X35MM,PC,0,3.98,0.00
7155,TER ISOL OLHAL M8X35MM,PC,99,2.40,237.60
7156,TER ISOL OLHAL M8X4-6MM,PC,1300,0.28,364.00
7157,TER ISOL OLHAL M8X4-6MM CANC,PC,0,0.25,0.00
7158,"TER ISOL PINO TUBULAR/ILHOS 0,50MM2",PC,896,0.02,17.92
7159,"TER ISOL PINO TUBULAR/ILHOS 0,75MM2 TI-1",PC,3989,0.02,79.78
7160,"TER ISOL PINO TUBULAR/ILHOS 1,00MM2 TI-1",PC,700,0.06,42.00
7161,"TER ISOL PINO TUBULAR/ILHOS 1,50MM2 TI-22",PC,2800,0.05,140.00
7162,"TER ISOL PINO TUBULAR/ILHOS 10,00MM2",PC,150,0.23,34.50
7163,"TER ISOL PINO TUBULAR/ILHOS 16,00MM2",PC,100,0.10,10.00
7164,"TER ISOL PINO TUBULAR/ILHOS 16,00MM2",PC,95,0.30,28.50
7165,"TER ISOL PINO TUBULAR/ILHOS 2,50MM2",PC,5980,0.05,299.00
7166,"TER ISOL PINO TUBULAR/ILHOS 25,00MM2",PC,94,0.31,29.14
7167,"TER ISOL PINO TUBULAR/ILHOS 4,00MM2",PC,160,0.05,8.00
7168,"TER ISOL PINO TUBULAR/ILHOS 6,00MM2",PC,245,0.10,24.50
7169,TER ISOL PINO TUBULAR/ILHOS DUPLO,PC,500,0.05,25.00
7170,TER ISOL PINO TUBULAR/ILHOS DUPLO,PC,700,0.06,42.00
7171,TER ISOL PINO TUBULAR/ILHOS DUPLO,PC,241,0.05,12.05
7172,TER ISOL PINO TUBULAR/ILHOS DUPLO,PC,390,0.08,31.20
7173,TER ISOL PINO TUBULAR/ILHOS DUPLO,PC,289,0.07,20.23
7174,TER ISOL PINO TUBULAR/ILHOS DUPLO,PC,0,0.11,0.00
7175,TER ISOL PINO TUBULAR/ILHOS DUPLO,PC,0,0.12,0.00
7176,"TER ISOL TOTAL FASTON  FEMEA 1,5 -2,5",PC,2161,0.14,302.54
7177,"TER ISOL TOTAL FASTON FEMEA 6,3 0,5-1,0",PC,0,0.11,0.00
7178,"TER ISOL TOTAL FASTON FEMEA 6,3 0,5-1,0 VM",PC,326,0.13,42.38
7179,"TER ISOL TOTAL FASTON FEMEA 6,3 4-6",PC,10148,0.17,1725.16
